number_of_bifurcations_NeuriteType_apical_dendrite_value,number_of_bifurcations_NeuriteType_basal_dendrite_value,number_of_bifurcations_NeuriteType_axon_value,number_of_bifurcations_NeuriteType_all_value,number_of_forking_points_NeuriteType_apical_dendrite_value,number_of_forking_points_NeuriteType_basal_dendrite_value,number_of_forking_points_NeuriteType_axon_value,number_of_forking_points_NeuriteType_all_value,number_of_neurites_NeuriteType_apical_dendrite_value,number_of_neurites_NeuriteType_basal_dendrite_value,number_of_neurites_NeuriteType_axon_value,number_of_neurites_NeuriteType_all_value,number_of_sections_NeuriteType_apical_dendrite_value,number_of_sections_NeuriteType_basal_dendrite_value,number_of_sections_NeuriteType_axon_value,number_of_sections_NeuriteType_all_value,number_of_terminations_NeuriteType_apical_dendrite_value,number_of_terminations_NeuriteType_basal_dendrite_value,number_of_terminations_NeuriteType_axon_value,number_of_terminations_NeuriteType_all_value,total_length_NeuriteType_apical_dendrite_value,total_length_NeuriteType_basal_dendrite_value,total_length_NeuriteType_axon_value,total_length_NeuriteType_all_value,neurite_lengths_NeuriteType_apical_dendrite_mean,neurite_lengths_NeuriteType_basal_dendrite_mean,neurite_lengths_NeuriteType_axon_mean,neurite_lengths_NeuriteType_all_mean,number_of_sections_per_neurite_NeuriteType_apical_dendrite_mean,number_of_sections_per_neurite_NeuriteType_basal_dendrite_mean,number_of_sections_per_neurite_NeuriteType_axon_mean,number_of_sections_per_neurite_NeuriteType_all_mean,principal_direction_extents_NeuriteType_apical_dendrite_mean,principal_direction_extents_NeuriteType_basal_dendrite_mean,principal_direction_extents_NeuriteType_axon_mean,principal_direction_extents_NeuriteType_all_mean,remote_bifurcation_angles_NeuriteType_apical_dendrite_mean,remote_bifurcation_angles_NeuriteType_basal_dendrite_mean,remote_bifurcation_angles_NeuriteType_axon_mean,remote_bifurcation_angles_NeuriteType_all_mean,section_branch_orders_NeuriteType_apical_dendrite_mean,section_branch_orders_NeuriteType_basal_dendrite_mean,section_branch_orders_NeuriteType_axon_mean,section_branch_orders_NeuriteType_all_mean,section_lengths_NeuriteType_apical_dendrite_mean,section_lengths_NeuriteType_basal_dendrite_mean,section_lengths_NeuriteType_axon_mean,section_lengths_NeuriteType_all_mean,section_path_distances_NeuriteType_apical_dendrite_mean,section_path_distances_NeuriteType_basal_dendrite_mean,section_path_distances_NeuriteType_axon_mean,section_path_distances_NeuriteType_all_mean,section_radial_distances_NeuriteType_apical_dendrite_mean,section_radial_distances_NeuriteType_basal_dendrite_mean,section_radial_distances_NeuriteType_axon_mean,section_radial_distances_NeuriteType_all_mean,neuron_name
42,52,35,129,42,52,35,129,2,8,2,12,86,112,72,270,44,60,37,141,6269.0179578,8573.89703916,10238.8295183,25081.7445153,3134.5089789,1071.73712989,5119.41475915,2090.14537627,43.0,14.0,36.0,22.5,509.112007358,262.197962219,735.266383398,379.78154628,0.978296076446,0.903616688685,1.33530910439,1.04505675718,4.60465116279,2.82142857143,4.55555555556,3.85185185185,72.8955576488,76.5526521353,142.205965532,92.8953500565,224.456547087,116.69930524,343.800335698,211.582257062,159.650605982,79.2579506514,131.880888547,118.897283566,150528a
25,17,27,69,25,17,29,71,2,7,1,10,52,41,61,154,27,24,32,83,3539.6722282,3138.76080049,13080.7436339,19759.1766626,1769.8361141,448.39440007,13080.7436339,1975.91766626,26.0,5.85714285714,61.0,15.4,390.788767745,196.060725214,809.904219145,296.390683113,1.03345686897,1.00728118736,1.38113834609,1.16305706165,4.26923076923,1.70731707317,5.88524590164,4.22727272727,68.070619773,76.5551414754,214.438420228,128.306341965,153.638560104,130.32645979,453.517817884,266.215434206,110.096239654,93.2647912251,174.000305948,130.927789383,150601a
28,26,32,86,29,26,32,87,1,5,1,7,60,57,65,182,31,31,33,95,3535.36179162,4089.65848305,12068.9720992,19693.9923738,3535.36179162,817.93169661,12068.9720992,2813.42748198,60.0,11.4,65.0,26.0,625.816816301,271.830447076,822.286828847,401.036554361,0.981014793954,0.819324752471,1.24312200243,1.02966002178,6.1,2.56140350877,5.04615384615,4.61538461538,58.922696527,71.7483944395,185.676493833,108.208749307,226.339163124,110.212904091,440.307025286,266.387043759,151.88623103,76.6591575243,152.265584851,128.461587121,150601b
19,19,45,83,19,20,45,84,1,9,1,11,39,50,91,180,20,30,46,96,2823.36825954,3361.17322027,15567.4333239,21751.9748038,2823.36825954,373.463691141,15567.4333239,1977.45225489,39.0,5.55555555556,91.0,16.3636363636,609.095614638,173.918318427,1115.82166613,299.460045536,1.05285997272,1.11211905849,1.41706149291,1.26388396113,5.17948717949,1.66,5.53846153846,4.38333333333,72.3940579369,67.2234644054,171.070695868,120.844304465,231.817603397,113.239473262,438.818099528,303.529484737,159.065015384,80.613036788,173.294893801,144.466793196,150610b1
16,44,28,88,16,44,29,89,1,5,1,7,33,93,61,187,17,49,32,98,2504.37217942,5443.81302007,10852.6567606,18800.8419601,2504.37217942,1088.76260401,10852.6567606,2685.83456572,33.0,18.6,61.0,26.7142857143,633.193754846,266.611970469,1038.32582239,429.225632797,0.93935420418,0.977061038496,1.41174134734,1.10851262143,4.72727272727,3.44086021505,6.32786885246,4.60962566845,75.890066043,58.5356238718,177.912405911,100.539261819,210.841037241,99.2553343355,429.956103258,226.82258086,147.025409885,72.1684898655,193.720198376,125.029091896,150610b2
19,23,16,58,19,23,16,58,1,4,1,6,39,50,33,122,20,27,17,64,2913.82050227,3799.88896697,5914.90585138,12628.6153206,2913.82050227,949.972241742,5914.90585138,2104.7692201,39.0,12.5,33.0,20.3333333333,449.63699923,328.177545456,752.908244634,419.209237615,1.14912652046,0.935038884124,1.47834469554,1.15504850607,6.05128205128,2.16,4.0,3.90163934426,74.7133462121,75.9977793394,179.239571254,103.513240333,215.037433751,116.068283991,399.738822022,224.436518382,151.059856479,82.0854859573,139.274987343,119.603961335,150611a
14,24,26,64,14,24,27,65,1,5,1,7,29,53,56,138,15,29,29,73,2016.80022978,3747.48117622,9436.15320815,15200.4346141,2016.80022978,749.496235244,9436.15320815,2171.49065916,29.0,10.6,56.0,19.7142857143,463.602257856,296.615824815,1054.42270073,425.029141653,1.01217898426,1.05147839601,1.22460139854,1.11321286947,3.44827586207,2.64150943396,4.32142857143,3.49275362319,69.5448355098,70.7071920041,168.50273586,110.148076914,189.067213845,124.13556328,418.170921043,257.099316187,138.075365602,85.8053657535,184.265741966,136.744576359,150611b
30,25,12,67,30,25,12,67,1,5,1,7,61,55,25,141,31,30,13,74,4189.83608407,2942.81878209,3963.71086122,11096.3657274,4189.83608407,588.563756417,3963.71086122,1585.19510391,61.0,11.0,25.0,20.1428571429,668.168161073,214.972169974,626.499571836,338.504083254,1.13206284467,1.03680169102,1.24380032394,1.11653032094,5.86885245902,2.14545454545,3.12,3.92907801418,68.6858374437,53.505796038,158.548434449,78.6976292722,168.25357807,83.8417184548,338.626665895,165.534960458,111.847756371,59.6979954738,109.644337521,91.1149739554,150701a
13,23,12,48,14,23,12,49,1,5,1,7,30,51,25,106,16,28,13,57,2300.54158162,3315.06315211,4637.84533628,10253.45007,2300.54158162,663.012630422,4637.84533628,1464.77858143,30.0,10.2,25.0,15.1428571429,503.20518402,250.300194198,695.824283031,350.216505203,0.869234499989,1.12679525737,1.6294449079,1.18270163154,3.1,2.58823529412,3.2,2.87735849057,76.6847193872,65.0012382767,185.513813451,96.7306610379,192.148218147,108.743425317,398.117109759,200.597065845,126.19307335,75.3650053913,142.769274106,105.647540831,150703a
36,15,34,85,36,15,34,85,2,5,1,8,74,35,69,178,38,20,35,93,5065.66415544,2144.79157911,10811.7877861,18022.2435207,2532.83207772,428.958315822,10811.7877861,2252.78044009,37.0,7.0,69.0,22.25,515.434352538,149.571749539,923.889234,337.827085846,0.966303298968,1.02329349613,1.25069944044,1.09011884917,4.83783783784,2.22857142857,5.01449275362,4.39325842697,68.4549210195,61.2797594031,156.692576611,101.248559105,167.072377411,98.0707564595,371.564065484,232.773892825,112.36736859,69.16493165,147.081849574,117.329244404,150703c
23,30,57,110,24,30,58,112,1,6,1,8,50,66,118,234,26,36,60,122,4098.1636405,5152.174369,20238.626643,29488.9646525,4098.1636405,858.695728167,20238.626643,3686.12058157,50.0,11.0,118.0,29.25,704.879502623,280.077205668,1123.46115216,438.600486099,0.860301199814,0.912044236983,1.12636465358,1.01228218145,4.88,2.30303030303,5.77966101695,4.60683760684,81.96327281,78.0632480152,171.513785111,126.021216464,244.424626026,118.649184737,498.671362895,337.159394511,184.194334185,86.0680451761,212.51577349,170.799440012,150709a
19,28,38,85,19,30,38,87,1,4,1,6,39,66,77,182,20,36,39,95,3540.50743523,5274.98816078,12547.2078599,21362.7034559,3540.50743523,1318.7470402,12547.2078599,3560.45057599,39.0,16.5,77.0,30.3333333333,610.674058063,346.769028279,950.808018706,491.426364981,0.796919215346,0.89531622092,1.31608885748,1.06143171602,4.15384615385,2.63636363636,4.96103896104,3.94505494505,90.782241929,79.9240630422,162.950751428,117.377491516,232.463212698,129.286591929,505.580773947,310.597252508,166.57610853,89.1490901188,192.206112663,149.341642064,150709b1
20,43,23,86,20,44,23,87,1,5,1,7,41,94,47,182,21,50,24,95,2423.06869745,6707.4276401,9715.23091399,18845.7272515,2423.06869745,1341.48552802,9715.23091399,2692.24675022,41.0,18.8,47.0,26.0,447.963080585,330.973016823,991.566528153,442.056384693,1.00914130323,0.872555823708,1.420893834,1.05096842635,5.90243902439,3.06382978723,4.55319148936,4.08791208791,59.0992365231,71.3556131925,206.707040723,103.547951932,192.139294479,122.062678454,458.426640103,224.712389743,134.894661031,87.086036912,171.997798485,119.78387418,150709b2
18,17,25,60,18,18,27,63,1,6,1,8,37,43,60,140,19,25,33,77,2667.93726033,3517.19932347,11330.7931306,17515.9297144,2667.93726033,586.199887245,11330.7931306,2189.4912143,37.0,7.16666666667,60.0,17.5,691.232037464,242.280925044,989.968399379,391.860748388,0.858138635276,1.0150497213,1.42347544519,1.13815378044,4.32432432432,2.02325581395,3.83333333333,3.40714285714,72.1064124412,81.7953331039,188.846552177,125.113783674,236.525405957,121.297067109,419.932631173,279.736941261,165.771318556,87.1442889341,174.387676897,145.314313033,150721b
