,Correlation,p_value,Adj_rsquared,Field_A,Field_B
84,0.935759198265827,1.1653813463060234e-14,0.8713571832473486,number_of_forking_points_NeuriteType_axon_value,total_length_NeuriteType_axon_value
85,0.6855592400504612,1.4919292484992456e-05,0.45232452067251816,number_of_forking_points_NeuriteType_axon_value,principal_direction_extents_NeuriteType_axon_mean
86,0.7599984148486079,4.5227229233166874e-07,0.5635175102581429,number_of_forking_points_NeuriteType_axon_value,section_branch_orders_NeuriteType_axon_mean
87,0.7792780474384039,2.404052890544667e-07,0.593732008847667,number_of_forking_points_NeuriteType_axon_value,number_of_bifurcations_NeuriteType_all_value
88,0.7941690544425303,9.685860733945905e-08,0.6179701590008371,number_of_forking_points_NeuriteType_axon_value,number_of_forking_points_NeuriteType_all_value
89,0.8133370576600352,2.679765588422881e-08,0.6498453476169826,number_of_forking_points_NeuriteType_axon_value,number_of_sections_NeuriteType_all_value
90,0.8252252865687311,1.1197150630663406e-08,0.6699966623370113,number_of_forking_points_NeuriteType_axon_value,number_of_terminations_NeuriteType_all_value
91,0.9364751156910142,1.1850811496177629e-15,0.8730174372216758,number_of_forking_points_NeuriteType_axon_value,total_length_NeuriteType_all_value
92,0.6734254949645343,2.3998586435834717e-05,0.43528529384383563,number_of_forking_points_NeuriteType_axon_value,section_lengths_NeuriteType_all_mean
93,0.7289794392107541,2.2266236093173095e-06,0.5157913902184265,number_of_forking_points_NeuriteType_axon_value,section_path_distances_NeuriteType_all_mean
94,0.9987881135125417,4.0625339131741685e-42,0.9974995568453593,number_of_sections_NeuriteType_axon_value,number_of_terminations_NeuriteType_axon_value
95,0.9412563834992245,3.300924882843882e-15,0.8820312891152131,number_of_sections_NeuriteType_axon_value,total_length_NeuriteType_axon_value
96,0.6908827814315052,1.2024885330350676e-05,0.4598963182678176,number_of_sections_NeuriteType_axon_value,principal_direction_extents_NeuriteType_axon_mean
97,0.7583851071157345,4.941989064917338e-07,0.5609862363847755,number_of_sections_NeuriteType_axon_value,section_branch_orders_NeuriteType_axon_mean
98,0.7647951391440828,5.457967837212546e-07,0.5705982119224998,number_of_sections_NeuriteType_axon_value,number_of_bifurcations_NeuriteType_all_value
99,0.7835744181875561,1.86289826044305e-07,0.6006781401772071,number_of_sections_NeuriteType_axon_value,number_of_forking_points_NeuriteType_all_value
100,0.8063982155409369,4.336883267396104e-08,0.6382187055458002,number_of_sections_NeuriteType_axon_value,number_of_sections_NeuriteType_all_value
101,0.8217852472911579,1.4508541875871817e-08,0.6641355096538508,number_of_sections_NeuriteType_axon_value,number_of_terminations_NeuriteType_all_value
102,0.9377525623648254,8.72746422804253e-16,0.8754888962289502,number_of_sections_NeuriteType_axon_value,total_length_NeuriteType_all_value
103,0.682362701513547,1.694600948809637e-05,0.44780615163076165,number_of_sections_NeuriteType_axon_value,section_lengths_NeuriteType_all_mean
104,0.7319361441120021,1.9308276661949683e-06,0.5202548696927971,number_of_sections_NeuriteType_axon_value,section_path_distances_NeuriteType_all_mean
105,0.9437368659978201,1.794454548599265e-15,0.8868682126655737,number_of_terminations_NeuriteType_axon_value,total_length_NeuriteType_axon_value
106,0.6941523160063973,1.0509384102264886e-05,0.4645756857442802,number_of_terminations_NeuriteType_axon_value,principal_direction_extents_NeuriteType_axon_mean
107,0.754963348626514,5.9510366852758e-07,0.5556353130283376,number_of_terminations_NeuriteType_axon_value,section_branch_orders_NeuriteType_axon_mean
108,0.7486486966343135,1.2752057710708568e-06,0.5453188320402653,number_of_terminations_NeuriteType_axon_value,number_of_bifurcations_NeuriteType_all_value
109,0.7711481576972924,3.8369999118035703e-07,0.5806925666757876,number_of_terminations_NeuriteType_axon_value,number_of_forking_points_NeuriteType_all_value
110,0.7974555356634853,7.84654651968476e-08,0.6233813772693131,number_of_terminations_NeuriteType_axon_value,number_of_sections_NeuriteType_all_value
111,0.816194262134806,2.185194597017603e-08,0.6546618002156346,number_of_terminations_NeuriteType_axon_value,number_of_terminations_NeuriteType_all_value
112,0.9366819870192375,1.1282890387853286e-15,0.8734174398000591,number_of_terminations_NeuriteType_axon_value,total_length_NeuriteType_all_value
113,0.6893120930924991,1.2820940267421777e-05,0.45765620040634736,number_of_terminations_NeuriteType_axon_value,section_lengths_NeuriteType_all_mean
114,0.7329457340778908,1.8383252478382814e-06,0.5217830974064106,number_of_terminations_NeuriteType_axon_value,section_path_distances_NeuriteType_all_mean
115,0.5654626157687443,0.0009167017788898764,0.2962910032745141,number_of_terminations_NeuriteType_axon_value,section_radial_distances_NeuriteType_all_mean
116,0.7109811795363671,7.375755813594449e-06,0.48844231481543854,total_length_NeuriteType_axon_value,principal_direction_extents_NeuriteType_axon_mean
117,0.7252756098238594,3.9182162439523765e-06,0.5096807346952116,total_length_NeuriteType_axon_value,section_branch_orders_NeuriteType_axon_mean
118,0.6427064910239897,0.00012822849293750985,0.3921099062330976,total_length_NeuriteType_axon_value,section_path_distances_NeuriteType_axon_mean
119,0.6930200241139844,2.1878709064652404e-05,0.46171520931662424,total_length_NeuriteType_axon_value,number_of_bifurcations_NeuriteType_all_value
120,0.7127763813041832,9.893009533338591e-06,0.49048053295026783,total_length_NeuriteType_axon_value,number_of_forking_points_NeuriteType_all_value
121,0.7354148171755572,3.6639126892633006e-06,0.5244362016542636,total_length_NeuriteType_axon_value,number_of_sections_NeuriteType_all_value
122,0.7516789109664067,1.6844515397705128e-06,0.5494862275199159,total_length_NeuriteType_axon_value,number_of_terminations_NeuriteType_all_value
123,0.9383968207550996,2.1940124913676808e-15,0.876608212976721,total_length_NeuriteType_axon_value,total_length_NeuriteType_all_value
124,0.7570520584570672,8.26579935255838e-07,0.5584080888421542,total_length_NeuriteType_axon_value,section_lengths_NeuriteType_all_mean
125,0.7817942470028947,2.071946101612063e-07,0.5977954254967133,total_length_NeuriteType_axon_value,section_path_distances_NeuriteType_all_mean
126,0.5695973437817956,0.0008240621115319593,0.3011460007344242,principal_direction_extents_NeuriteType_axon_mean,section_path_distances_NeuriteType_axon_mean
127,0.6964994287327084,6.735135661780176e-06,0.468502146296763,principal_direction_extents_NeuriteType_axon_mean,section_radial_distances_NeuriteType_axon_mean
128,0.663084607265389,2.60893779268251e-05,0.42160639627591767,principal_direction_extents_NeuriteType_axon_mean,total_length_NeuriteType_all_value
129,0.6163809864956815,0.00017242271809025535,0.35925637119716913,principal_direction_extents_NeuriteType_axon_mean,section_lengths_NeuriteType_all_mean
130,0.7025993187709662,7.359761434231909e-06,0.47676732949533984,principal_direction_extents_NeuriteType_axon_mean,section_path_distances_NeuriteType_all_mean
