neuron_name,Soma_depth,Basal_Density,bas_turnover,Apical_Density,ap_turnover,Axon_Density,ax_turnover,number_of_bifurcations_NeuriteType_apical_dendrite_value,number_of_forking_points_NeuriteType_apical_dendrite_value,number_of_sections_NeuriteType_apical_dendrite_value,number_of_terminations_NeuriteType_apical_dendrite_value,total_length_NeuriteType_apical_dendrite_value,ap_postsyn_num,principal_direction_extents_NeuriteType_apical_dendrite_mean,remote_bifurcation_angles_NeuriteType_apical_dendrite_mean,section_branch_orders_NeuriteType_apical_dendrite_mean,section_lengths_NeuriteType_apical_dendrite_mean,section_path_distances_NeuriteType_apical_dendrite_mean,section_radial_distances_NeuriteType_apical_dendrite_mean,AD,number_of_bifurcations_NeuriteType_basal_dendrite_value,number_of_forking_points_NeuriteType_basal_dendrite_value,number_of_sections_NeuriteType_basal_dendrite_value,number_of_terminations_NeuriteType_basal_dendrite_value,total_length_NeuriteType_basal_dendrite_value,bas_postsyn_num,principal_direction_extents_NeuriteType_basal_dendrite_mean,remote_bifurcation_angles_NeuriteType_basal_dendrite_mean,section_branch_orders_NeuriteType_basal_dendrite_mean,section_lengths_NeuriteType_basal_dendrite_mean,section_path_distances_NeuriteType_basal_dendrite_mean,section_radial_distances_NeuriteType_basal_dendrite_mean,number_of_neurites_NeuriteType_basal_dendrite_value,neurite_lengths_NeuriteType_basal_dendrite_mean,number_of_sections_per_neurite_NeuriteType_basal_dendrite_mean,number_of_bifurcations_NeuriteType_axon_value,number_of_forking_points_NeuriteType_axon_value,number_of_sections_NeuriteType_axon_value,number_of_terminations_NeuriteType_axon_value,total_length_NeuriteType_axon_value,presynaptic_num,principal_direction_extents_NeuriteType_axon_mean,remote_bifurcation_angles_NeuriteType_axon_mean,section_branch_orders_NeuriteType_axon_mean,section_lengths_NeuriteType_axon_mean,section_path_distances_NeuriteType_axon_mean,section_radial_distances_NeuriteType_axon_mean,number_of_bifurcations_NeuriteType_all_value,number_of_forking_points_NeuriteType_all_value,number_of_sections_NeuriteType_all_value,number_of_terminations_NeuriteType_all_value,total_length_NeuriteType_all_value,principal_direction_extents_NeuriteType_all_mean,remote_bifurcation_angles_NeuriteType_all_mean,section_branch_orders_NeuriteType_all_mean,section_lengths_NeuriteType_all_mean,section_path_distances_NeuriteType_all_mean,section_radial_distances_NeuriteType_all_mean,number_of_neurites_NeuriteType_all_value
150528a,231,1.13,15.415,1.09,21.715,0.28,14.535,42,42,86,44,6269.017958,6833.229574,509.1120074,0.978296076,4.604651163,72.89555765,224.4565471,159.650606,2,52,52,112,60,8573.897039,9688.503654,262.1979622,0.903616689,2.821428571,76.55265214,116.6993052,79.25795065,8,1071.73713,14,35,35,72,37,10238.82952,2866.872266,735.2663834,1.335309104,4.555555556,142.2059655,343.8003357,131.8808885,129,129,270,141,25081.74452,379.7815463,1.045056757,3.851851852,92.89535006,211.5822571,118.8972836,12
150601a,141,0.9,9.735,0.86,9.67,0.31,7.65,25,25,52,27,3539.672228,3044.118116,390.7887677,1.033456869,4.269230769,68.07061977,153.6385601,110.0962397,2,17,17,41,24,3138.7608,2824.88472,196.0607252,1.007281187,1.707317073,76.55514148,130.3264598,93.26479123,7,448.3944001,5.857142857,27,29,61,32,13080.74363,4055.030525,809.9042191,1.381138346,5.885245902,214.4384202,453.5178179,174.0003059,69,71,154,83,19759.17666,296.3906831,1.163057062,4.227272727,128.306342,266.2154342,130.9277894,10
150601b,162,1.45,4.435,1.05,13.265,0.32,8.25,28,29,60,31,3535.361792,3712.129882,625.8168163,0.981014794,6.1,58.92269653,226.3391631,151.886231,1,26,26,57,31,4089.658483,5930.0048,271.8304471,0.819324752,2.561403509,71.74839444,110.2129041,76.65915752,5,817.9316966,11.4,32,32,65,33,12068.9721,3862.071072,822.2868288,1.243122002,5.046153846,185.6764938,440.3070253,152.2655849,86,87,182,95,19693.99237,401.0365544,1.029660022,4.615384615,108.2087493,266.3870438,128.4615871,7
150610b1,114,1.04,11.5,1.15,17.71,0.21,18.745,19,19,39,20,2823.36826,3246.873499,609.0956146,1.052859973,5.179487179,72.39405794,231.8176034,159.0650154,1,19,20,50,30,3361.17322,3495.620149,173.9183184,1.112119058,1.66,67.22346441,113.2394733,80.61303679,9,373.4636911,5.555555556,45,45,91,46,15567.43332,3269.160997,1115.821666,1.417061493,5.538461538,171.0706959,438.8180995,173.2948938,83,84,180,96,21751.9748,299.4600455,1.263883961,4.383333333,120.8443045,303.5294847,144.4667932,11
150610b2,147,1.51,8.665,1.26,8.89,0.3,12.545,16,16,33,17,2504.372179,3155.508946,633.1937548,0.939354204,4.727272727,75.89006604,210.8410372,147.0254099,0,44,44,93,49,5443.81302,8220.15766,266.6119705,0.977061038,3.440860215,58.53562387,99.25533434,72.16848987,5,1088.762604,18.6,28,29,61,32,10852.65676,3255.797028,1038.325822,1.411741347,6.327868852,177.9124059,429.9561033,193.7201984,88,89,187,98,18800.84196,429.2256328,1.108512621,4.609625668,100.5392618,226.8225809,125.0290919,7
150611a,228,1.12,7.385,1,12.595,0.37,10.005,19,19,39,20,2913.820502,2913.820502,449.6369992,1.14912652,6.051282051,74.71334621,215.0374338,151.0598565,0,23,23,50,27,3799.888967,4255.875643,328.1775455,0.935038884,2.16,75.99777934,116.068284,82.08548596,4,949.9722417,12.5,16,16,33,17,5914.905851,2188.515165,752.9082446,1.478344696,4,179.2395713,399.738822,139.2749873,58,58,122,64,12628.61532,419.2092376,1.155048506,3.901639344,103.5132403,224.4365184,119.6039613,6
150611b,165,1.25,11.805,1.42,10.45,0.3,15.62,14,14,29,15,2016.80023,2863.856327,463.6022579,1.012178984,3.448275862,69.54483551,189.0672138,138.0753656,1,24,24,53,29,3747.481176,4684.35147,296.6158248,1.051478396,2.641509434,70.707192,124.1355633,85.80536575,5,749.4962352,10.6,26,27,56,29,9436.153208,2830.845962,1054.422701,1.224601399,4.321428571,168.5027359,418.170921,184.265742,64,65,138,73,15200.43461,425.0291417,1.113212869,3.492753623,110.1480769,257.0993162,136.7445764,7
150701a,135,1.41,11.005,1.5,12.68,0.22,31.815,30,30,61,31,4189.836084,6284.754126,668.1681611,1.132062845,5.868852459,68.68583744,168.2535781,111.8477564,0,25,25,55,30,2942.818782,4149.374483,214.97217,1.036801691,2.145454545,53.50579604,83.84171845,59.69799547,5,588.5637564,11,12,12,25,13,3963.710861,872.0163894,626.4995718,1.243800324,3.12,158.5484344,338.6266659,109.6443375,67,67,141,74,11096.36573,338.5040833,1.116530321,3.929078014,78.69762927,165.5349605,91.11497396,7
150703a,162,1.15,9.85,1.13,11.895,0.23,19.01,13,14,30,16,2300.541582,2599.611988,503.205184,0.8692345,3.1,76.68471939,192.1482181,126.1930734,0,23,23,51,28,3315.063152,3812.322625,250.3001942,1.126795257,2.588235294,65.00123828,108.7434253,75.36500539,5,663.0126304,10.2,12,12,25,13,4637.845336,1066.704427,695.824283,1.629444908,3.2,185.5138135,398.1171098,142.7692741,48,49,106,57,10253.45007,350.2165052,1.182701632,2.877358491,96.73066104,200.5970658,105.6475408,7
150703c,132,1.2,12.575,1.112,13.76,0.29,12.4,36,36,74,38,5065.664155,5633.01854,515.4343525,0.966303299,4.837837838,68.45492102,167.0723774,112.3673686,2,15,15,35,20,2144.791579,2573.749895,149.5717495,1.023293496,2.228571429,61.2797594,98.07075646,69.16493165,5,428.9583158,7,34,34,69,35,10811.78779,3135.418459,923.889234,1.25069944,5.014492754,156.6925766,371.5640655,147.0818496,85,85,178,93,18022.24352,337.8270858,1.090118849,4.393258427,101.2485591,232.7738928,117.3292444,8
150709a,279,1.25,11.335,1.12,22.09,0.33,16.22,23,24,50,26,4098.163641,4589.943278,704.8795026,0.8603012,4.88,81.96327281,244.424626,184.1943342,1,30,30,66,36,5152.174369,6440.217961,280.0772057,0.912044237,2.303030303,78.06324802,118.6491847,86.06804518,6,858.6957282,11,57,58,118,60,20238.62664,6678.746791,1123.461152,1.126364654,5.779661017,171.5137851,498.6713629,212.5157735,110,112,234,122,29488.96465,438.6004861,1.012282181,4.606837607,126.0212165,337.1593945,170.79944,8
150709b1,207,1.22,11.775,1.17,13.16,0.35,13.515,19,19,39,20,3540.507435,4142.393699,610.6740581,0.796919215,4.153846154,90.78224193,232.4632127,166.5761085,1,28,30,66,36,5274.988161,6435.485556,346.7690283,0.895316221,2.636363636,79.92406304,129.2865919,89.14909012,4,1318.74704,16.5,38,38,77,39,12547.20786,4391.522751,950.8080187,1.316088857,4.961038961,162.9507514,505.5807739,192.2061127,85,87,182,95,21362.70346,491.426365,1.061431716,3.945054945,117.3774915,310.5972525,149.3416421,6
150709b2,162,1.25,14.135,1.18,17.125,0.23,16.305,20,20,41,21,2423.068697,2859.221062,447.9630806,1.009141303,5.902439024,59.09923652,192.1392945,134.894661,0,43,44,94,50,6707.42764,8384.28455,330.9730168,0.872555824,3.063829787,71.35561319,122.0626785,87.08603691,5,1341.485528,18.8,23,23,47,24,9715.230914,2234.50311,991.5665282,1.420893834,4.553191489,206.7070407,458.4266401,171.9977985,86,87,182,95,18845.72725,442.0563847,1.050968426,4.087912088,103.5479519,224.7123897,119.7838742,7
150721b,180,0.95,9.44,1.1,12.155,0.24,8.9,18,18,37,19,2667.93726,2934.730986,691.2320375,0.858138635,4.324324324,72.10641244,236.525406,165.7713186,1,17,18,43,25,3517.199323,3341.339357,242.280925,1.015049721,2.023255814,81.7953331,121.2970671,87.14428893,6,586.1998872,7.166666667,25,27,60,33,11330.79313,2719.390351,989.9683994,1.423475445,3.833333333,188.8465522,419.9326312,174.3876769,60,63,140,77,17515.92971,391.8607484,1.13815378,3.407142857,125.1137837,279.7369413,145.314313,8
