neuron_name,number_of_bifurcations_NeuriteType_apical_dendrite_value,number_of_forking_points_NeuriteType_apical_dendrite_value,number_of_sections_NeuriteType_apical_dendrite_value,number_of_terminations_NeuriteType_apical_dendrite_value,total_length_NeuriteType_apical_dendrite_value,principal_direction_extents_NeuriteType_apical_dendrite_mean,remote_bifurcation_angles_NeuriteType_apical_dendrite_mean,section_branch_orders_NeuriteType_apical_dendrite_mean,section_lengths_NeuriteType_apical_dendrite_mean,section_path_distances_NeuriteType_apical_dendrite_mean,section_radial_distances_NeuriteType_apical_dendrite_mean,number_of_bifurcations_NeuriteType_basal_dendrite_value,number_of_forking_points_NeuriteType_basal_dendrite_value,number_of_sections_NeuriteType_basal_dendrite_value,number_of_terminations_NeuriteType_basal_dendrite_value,total_length_NeuriteType_basal_dendrite_value,principal_direction_extents_NeuriteType_basal_dendrite_mean,remote_bifurcation_angles_NeuriteType_basal_dendrite_mean,section_branch_orders_NeuriteType_basal_dendrite_mean,section_lengths_NeuriteType_basal_dendrite_mean,section_path_distances_NeuriteType_basal_dendrite_mean,section_radial_distances_NeuriteType_basal_dendrite_mean,number_of_neurites_NeuriteType_basal_dendrite_value,neurite_lengths_NeuriteType_basal_dendrite_mean,number_of_sections_per_neurite_NeuriteType_basal_dendrite_mean,number_of_bifurcations_NeuriteType_axon_value,number_of_forking_points_NeuriteType_axon_value,number_of_sections_NeuriteType_axon_value,number_of_terminations_NeuriteType_axon_value,total_length_NeuriteType_axon_value,principal_direction_extents_NeuriteType_axon_mean,remote_bifurcation_angles_NeuriteType_axon_mean,section_branch_orders_NeuriteType_axon_mean,section_lengths_NeuriteType_axon_mean,section_path_distances_NeuriteType_axon_mean,section_radial_distances_NeuriteType_axon_mean
150610b2,16,16,33,17,2504.372179,633.1937548,0.939354204,4.727272727,75.89006604,210.8410372,147.0254099,44,44,93,49,5443.81302,266.6119705,0.977061038,3.440860215,58.53562387,99.25533434,72.16848987,5,1088.762604,18.6,28,29,61,32,10852.65676,1038.325822,1.411741347,6.327868852,177.9124059,429.9561033,193.7201984
150611a,19,19,39,20,2913.820502,449.6369992,1.14912652,6.051282051,74.71334621,215.0374338,151.0598565,23,23,50,27,3799.888967,328.1775455,0.935038884,2.16,75.99777934,116.068284,82.08548596,4,949.9722417,12.5,16,16,33,17,5914.905851,752.9082446,1.478344696,4,179.2395713,399.738822,139.2749873
150611b,14,14,29,15,2016.80023,463.6022579,1.012178984,3.448275862,69.54483551,189.0672138,138.0753656,24,24,53,29,3747.481176,296.6158248,1.051478396,2.641509434,70.707192,124.1355633,85.80536575,5,749.4962352,10.6,26,27,56,29,9436.153208,1054.422701,1.224601399,4.321428571,168.5027359,418.170921,184.265742
150701a,30,30,61,31,4189.836084,668.1681611,1.132062845,5.868852459,68.68583744,168.2535781,111.8477564,25,25,55,30,2942.818782,214.97217,1.036801691,2.145454545,53.50579604,83.84171845,59.69799547,5,588.5637564,11,12,12,25,13,3963.710861,626.4995718,1.243800324,3.12,158.5484344,338.6266659,109.6443375
150703a,13,14,30,16,2300.541582,503.205184,0.8692345,3.1,76.68471939,192.1482181,126.1930734,23,23,51,28,3315.063152,250.3001942,1.126795257,2.588235294,65.00123828,108.7434253,75.36500539,5,663.0126304,10.2,12,12,25,13,4637.845336,695.824283,1.629444908,3.2,185.5138135,398.1171098,142.7692741
150703c,36,36,74,38,5065.664155,515.4343525,0.966303299,4.837837838,68.45492102,167.0723774,112.3673686,15,15,35,20,2144.791579,149.5717495,1.023293496,2.228571429,61.2797594,98.07075646,69.16493165,5,428.9583158,7,34,34,69,35,10811.78779,923.889234,1.25069944,5.014492754,156.6925766,371.5640655,147.0818496
150709a,23,24,50,26,4098.163641,704.8795026,0.8603012,4.88,81.96327281,244.424626,184.1943342,30,30,66,36,5152.174369,280.0772057,0.912044237,2.303030303,78.06324802,118.6491847,86.06804518,6,858.6957282,11,57,58,118,60,20238.62664,1123.461152,1.126364654,5.779661017,171.5137851,498.6713629,212.5157735
150709b1,19,19,39,20,3540.507435,610.6740581,0.796919215,4.153846154,90.78224193,232.4632127,166.5761085,28,30,66,36,5274.988161,346.7690283,0.895316221,2.636363636,79.92406304,129.2865919,89.14909012,4,1318.74704,16.5,38,38,77,39,12547.20786,950.8080187,1.316088857,4.961038961,162.9507514,505.5807739,192.2061127
150709b2,20,20,41,21,2423.068697,447.9630806,1.009141303,5.902439024,59.09923652,192.1392945,134.894661,43,44,94,50,6707.42764,330.9730168,0.872555824,3.063829787,71.35561319,122.0626785,87.08603691,5,1341.485528,18.8,23,23,47,24,9715.230914,991.5665282,1.420893834,4.553191489,206.7070407,458.4266401,171.9977985
150721b,18,18,37,19,2667.93726,691.2320375,0.858138635,4.324324324,72.10641244,236.525406,165.7713186,17,18,43,25,3517.199323,242.280925,1.015049721,2.023255814,81.7953331,121.2970671,87.14428893,6,586.1998872,7.166666667,25,27,60,33,11330.79313,989.9683994,1.423475445,3.833333333,188.8465522,419.9326312,174.3876769
