,Soma_depth,Basal_Density,bas_turnover,Apical_Density,ap_turnover,Axon_Density,ax_turnover,number_of_bifurcations_NeuriteType_apical_dendrite_value,number_of_forking_points_NeuriteType_apical_dendrite_value,number_of_sections_NeuriteType_apical_dendrite_value,number_of_terminations_NeuriteType_apical_dendrite_value,total_length_NeuriteType_apical_dendrite_value,principal_direction_extents_NeuriteType_apical_dendrite_mean,remote_bifurcation_angles_NeuriteType_apical_dendrite_mean,section_branch_orders_NeuriteType_apical_dendrite_mean,section_lengths_NeuriteType_apical_dendrite_mean,section_path_distances_NeuriteType_apical_dendrite_mean,section_radial_distances_NeuriteType_apical_dendrite_mean,AD,number_of_bifurcations_NeuriteType_basal_dendrite_value,number_of_forking_points_NeuriteType_basal_dendrite_value,number_of_sections_NeuriteType_basal_dendrite_value,number_of_terminations_NeuriteType_basal_dendrite_value,total_length_NeuriteType_basal_dendrite_value,principal_direction_extents_NeuriteType_basal_dendrite_mean,remote_bifurcation_angles_NeuriteType_basal_dendrite_mean,section_branch_orders_NeuriteType_basal_dendrite_mean,section_lengths_NeuriteType_basal_dendrite_mean,section_path_distances_NeuriteType_basal_dendrite_mean,section_radial_distances_NeuriteType_basal_dendrite_mean,number_of_neurites_NeuriteType_basal_dendrite_value,neurite_lengths_NeuriteType_basal_dendrite_mean,number_of_sections_per_neurite_NeuriteType_basal_dendrite_mean,number_of_bifurcations_NeuriteType_axon_value,number_of_forking_points_NeuriteType_axon_value,number_of_sections_NeuriteType_axon_value,number_of_terminations_NeuriteType_axon_value,total_length_NeuriteType_axon_value,principal_direction_extents_NeuriteType_axon_mean,remote_bifurcation_angles_NeuriteType_axon_mean,section_branch_orders_NeuriteType_axon_mean,section_lengths_NeuriteType_axon_mean,section_path_distances_NeuriteType_axon_mean,section_radial_distances_NeuriteType_axon_mean,number_of_bifurcations_NeuriteType_all_value,number_of_forking_points_NeuriteType_all_value,number_of_sections_NeuriteType_all_value,number_of_terminations_NeuriteType_all_value,total_length_NeuriteType_all_value,principal_direction_extents_NeuriteType_all_mean,remote_bifurcation_angles_NeuriteType_all_mean,section_branch_orders_NeuriteType_all_mean,section_lengths_NeuriteType_all_mean,section_path_distances_NeuriteType_all_mean,section_radial_distances_NeuriteType_all_mean,number_of_neurites_NeuriteType_all_value
20,141.0,0.9,9.735,0.86,9.67,0.31,7.65,25.0,25.0,52.0,27.0,3539.672228,390.7887677,1.0334568690000001,4.269230769,68.07061977,153.6385601,110.09623970000001,,17.0,17.0,41.0,24.0,3138.7608,196.06072519999998,1.007281187,1.707317073,76.55514148,130.3264598,93.26479123,7.0,448.39440010000004,5.857142857,27.0,29.0,61,32,13080.743629999999,809.9042191000001,1.381138346,5.885245902,214.4384202,453.51781789999995,174.0003059,69.0,71.0,154.0,83.0,19759.17666,296.39068310000005,1.163057062,4.227272727,128.306342,266.21543419999995,130.9277894,10.0
21,162.0,1.45,,1.05,13.265,0.32,8.25,28.0,29.0,60.0,31.0,3535.361792,625.8168163,0.981014794,6.1,58.92269653,226.3391631,151.886231,1.0,26.0,26.0,57.0,31.0,4089.6584829999997,271.8304471,0.819324752,2.5614035090000002,71.74839444,110.2129041,76.65915752,5.0,817.9316966,11.4,32.0,32.0,65,33,12068.9721,822.2868288,1.243122002,5.046153846,185.6764938,440.3070253000001,152.26558490000002,86.0,87.0,182.0,95.0,19693.99237,401.0365544,1.029660022,4.615384615,108.20874930000001,266.3870438,128.4615871,7.0
22,114.0,1.04,11.5,1.15,17.71,0.21,18.745,19.0,19.0,39.0,20.0,2823.36826,609.0956146000001,1.052859973,5.179487179,72.39405794,231.8176034,159.06501540000002,1.0,19.0,20.0,50.0,30.0,3361.17322,173.9183184,1.112119058,1.66,67.22346441,113.2394733,80.61303679,,373.4636911,5.555555556,45.0,45.0,91,46,15567.433319999998,1115.821666,1.417061493,5.538461538,171.0706959,438.8180995,173.2948938,83.0,84.0,180.0,96.0,21751.9748,299.46004550000004,1.263883961,4.383333333,120.84430449999999,303.5294847,144.46679319999998,
23,147.0,1.51,8.665,1.26,8.89,0.3,12.545,16.0,16.0,33.0,17.0,2504.372179,633.1937548,0.939354204,4.727272727,75.89006604,210.8410372,147.02540990000003,0.0,,,,,5443.8130200000005,266.6119705,0.977061038,,58.53562387,99.25533434,72.16848987,5.0,1088.762604,,28.0,29.0,61,32,10852.65676,1038.325822,1.411741347,6.327868852000001,177.9124059,429.9561033,193.72019840000002,88.0,89.0,187.0,98.0,18800.841959999998,429.22563279999997,1.108512621,4.6096256680000005,100.5392618,226.8225809,125.0290919,7.0
24,228.0,1.12,7.385,1.0,12.595,0.37,10.005,19.0,19.0,39.0,20.0,2913.820502,449.63699919999993,1.14912652,6.051282051,74.71334621,215.0374338,151.0598565,0.0,23.0,23.0,50.0,27.0,3799.8889670000003,328.1775455,0.935038884,2.16,75.99777934,116.068284,82.08548596,4.0,949.9722417000002,12.5,16.0,16.0,33,17,5914.9058509999995,752.9082446000001,1.478344696,4.0,179.23957130000002,399.738822,139.27498730000002,58.0,58.0,122.0,64.0,12628.61532,419.2092376,1.155048506,3.901639344,103.51324029999999,224.43651839999998,119.6039613,6.0
25,165.0,1.25,11.805,1.42,10.45,0.3,15.62,14.0,14.0,29.0,15.0,2016.80023,463.6022579,1.0121789840000002,3.448275862,69.54483551,189.0672138,138.0753656,1.0,24.0,24.0,53.0,29.0,3747.481176,296.61582480000004,1.051478396,2.641509434,70.707192,124.13556329999999,85.80536575,5.0,749.4962352000001,10.6,26.0,27.0,56,29,9436.153208,1054.422701,1.224601399,4.321428571,168.5027359,418.170921,184.265742,64.0,65.0,138.0,73.0,15200.43461,425.02914169999997,1.113212869,3.492753623,110.1480769,257.0993162,136.7445764,7.0
26,135.0,1.41,11.005,1.5,12.68,0.22,,30.0,30.0,61.0,31.0,4189.8360840000005,668.1681611,1.132062845,5.868852459,68.68583744,168.2535781,111.8477564,0.0,25.0,25.0,55.0,30.0,2942.818782,214.97217,1.036801691,2.145454545,53.50579604,83.84171845,59.69799547,5.0,588.5637563999999,11.0,12.0,12.0,25,13,3963.710861,,1.243800324,3.12,158.5484344,338.6266659,,67.0,67.0,141.0,74.0,11096.36573,338.5040833,1.116530321,3.929078014,78.69762927,165.5349605,,7.0
27,162.0,1.15,9.85,1.13,11.895,0.23,19.01,13.0,14.0,30.0,16.0,2300.541582,503.205184,0.8692344999999999,3.1,76.68471939,192.14821809999998,126.19307340000002,0.0,23.0,23.0,51.0,28.0,3315.063152,250.3001942,1.126795257,2.588235294,65.00123828,108.7434253,75.36500539,5.0,663.0126303999999,10.2,12.0,12.0,25,13,4637.845336,695.824283,1.6294449080000002,3.2,185.5138135,398.11710980000004,142.7692741,,,,,10253.45007,350.2165052,1.1827016320000001,,96.73066104,200.5970658,105.6475408,7.0
28,132.0,1.2,12.575,1.112,13.76,0.29,12.4,,,74.0,38.0,5065.6641549999995,515.4343525,0.966303299,4.8378378380000004,68.45492102,167.0723774,112.36736859999999,,15.0,15.0,35.0,20.0,2144.7915789999997,149.5717495,1.023293496,2.228571429,61.2797594,98.07075646,69.16493165,5.0,428.9583158,7.0,34.0,34.0,69,35,10811.78779,923.889234,1.25069944,5.014492754,156.6925766,371.56406549999997,147.0818496,85.0,85.0,178.0,93.0,18022.24352,337.8270858,1.090118849,4.393258427,101.2485591,232.77389280000003,117.32924440000001,8.0
29,279.0,1.25,11.335,1.12,,0.33,16.22,23.0,24.0,50.0,26.0,4098.163640999999,704.8795026,0.8603011999999999,4.88,81.96327281,244.424626,184.1943342,1.0,30.0,30.0,66.0,36.0,5152.174368999999,280.0772057,0.912044237,2.3030303030000003,78.06324802,118.6491847,86.06804518,6.0,858.6957282,11.0,,,118,60,20238.626640000002,1123.4611519999999,,5.7796610170000005,171.5137851,498.67136289999996,212.5157735,,,,122.0,29488.96465,438.60048610000007,1.012282181,4.606837607,126.02121650000001,337.15939449999996,,8.0
30,207.0,1.22,11.775,1.17,13.16,0.35,13.515,19.0,19.0,39.0,20.0,3540.507435,610.6740581,0.796919215,4.153846154,90.78224193,232.46321269999999,166.5761085,1.0,28.0,30.0,66.0,36.0,5274.988161,346.7690283,0.895316221,2.636363636,79.92406304,129.2865919,89.14909012,4.0,,16.5,38.0,38.0,77,39,12547.207859999999,950.8080187,1.316088857,4.961038961,162.9507514,505.5807739,192.20611269999998,85.0,87.0,182.0,95.0,21362.70346,491.42636500000003,1.061431716,3.945054945,117.3774915,310.59725249999997,149.34164209999997,6.0
31,162.0,1.25,14.135,1.18,17.125,0.23,16.305,20.0,20.0,41.0,21.0,2423.0686969999997,447.9630806,1.009141303,5.9024390239999995,59.09923652,192.1392945,134.894661,0.0,,,,,,330.9730168,0.8725558240000001,3.063829787,71.35561319,122.06267849999999,87.08603691,5.0,,,23.0,23.0,47,24,9715.230914,991.5665282,1.4208938340000001,4.553191489,206.7070407,458.42664010000004,171.99779850000002,86.0,87.0,182.0,95.0,18845.72725,442.0563847,1.0509684259999998,4.087912088,103.54795190000002,224.7123897,119.78387420000001,7.0
32,180.0,0.95,9.44,1.1,12.155,0.24,8.9,18.0,18.0,37.0,19.0,2667.93726,691.2320375,0.858138635,4.324324324,72.10641244,236.525406,165.7713186,1.0,17.0,18.0,43.0,25.0,3517.199323,242.280925,1.015049721,2.023255814,81.7953331,121.29706709999999,87.14428893,6.0,586.1998872,7.166666667,25.0,27.0,60,33,11330.79313,989.9683994,1.423475445,3.833333333,188.8465522,419.9326312,174.3876769,60.0,63.0,140.0,77.0,17515.92971,391.8607484,1.13815378,3.4071428569999997,125.1137837,279.7369413,145.314313,8.0
